"Organization","Pipeline Name","Pipeline Step","Valid","Build Number","Code Committer","Pipeline Creator","First Code Committed Time In PR","Code Committed Time","PR Created Time","PR Merged Time","Deployment Completed Time","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch"
"Heartbeat-backup","Heartbeat",":rocket: Deploy prod","true","2146","neomgb",,"2024-03-29T02:37:25Z","2024-03-29T02:59:23Z","2024-03-29T02:49:08Z","2024-03-29T02:59:23Z","2024-03-29T03:15:57.241Z","0:38:32","0:21:58","0:16:34","passed","main"
"Heartbeat-backup","Heartbeat",":rocket: Run e2e","false","2137","Pengfei Qian",,,"2024-03-28T15:30:17Z",,,"2024-03-28T15:44:16.150Z",,,,"passed","main"
"Heartbeat-backup","Heartbeat",":rocket: Deploy prod","true","2094","Rui7ing",,"2024-03-27T09:21:07Z","2024-03-28T03:07:17Z","2024-03-27T09:36:14Z","2024-03-28T03:07:17Z","2024-03-28T03:29:04.271Z","18:7:57","17:46:10","0:21:47","passed","main"
"Heartbeat-backup","Heartbeat",":rocket: Deploy prod","true","2084","李雪冰",,"2024-03-27T09:32:57Z","2024-03-27T09:50:11Z","2024-03-27T09:34:06Z","2024-03-27T09:50:11Z","2024-03-27T10:07:05.096Z","0:34:8","0:17:14","0:16:54","passed","main"
"Heartbeat-backup","Heartbeat",":rocket: Run e2e","false","2075","Leiqiuhong",,,"2024-03-27T07:29:55Z",,,"2024-03-27T07:42:43.381Z",,,,"passed","main"
"Heartbeat-backup","Heartbeat",":rocket: Deploy prod","true","2072","yulongcai","heartbeat-user","2024-03-27T02:10:28Z","2024-03-27T02:19:08Z","2024-03-27T02:12:27Z","2024-03-27T02:19:08Z","2024-03-27T07:24:32.526Z","5:14:4","0:8:40","5:5:24","passed","main"
"Heartbeat-backup","Heartbeat",":white_check_mark: GitHub Basic Check","false","2066","yulongcai",,"2024-03-27T02:10:28Z","2024-03-27T02:19:08Z","2024-03-27T02:12:27Z","2024-03-27T02:19:08Z","2024-03-27T05:53:21.528Z","5:14:4","0:8:40","5:5:24","failed","main"
