"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"au-heartbeat",,"Heartbeat",,,,"1579","zhou-yinyuan",,"2024-08-16T09:34:03Z","2024-08-16T09:34:35Z","2024-08-16T09:42:39Z",,,"2024-08-16T09:42:39Z",,"0","0:8:36","0:8:36","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1578","zhou-yinyuan",,"2024-08-16T09:11:02Z","2024-08-16T09:11:32Z","2024-08-16T09:16:37Z",,,"2024-08-16T09:16:37Z",,"0","0:5:35","0:5:35","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1577","zhou-yinyuan",,"2024-08-15T07:40:45Z","2024-08-15T07:41:18Z","2024-08-16T03:27:54Z",,,"2024-08-16T03:27:54Z",,"0","19:47:9","19:47:9","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1576","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T09:21:18Z","2024-08-14T09:29:12Z",,,"2024-08-14T09:29:12Z",,"0","2:21:18","2:21:18","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1575","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T07:08:40Z","2024-08-14T07:13:45Z",,,"2024-08-14T07:13:45Z",,"0","0:5:51","0:5:51","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1574","zhou-yinyuan",,"2024-08-14T02:18:08Z","2024-08-14T02:18:46Z","2024-08-14T02:25:41Z",,,"2024-08-14T02:25:41Z",,"0","0:7:33","0:7:33","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1573","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-13T06:09:53Z","2024-08-13T07:00:49Z",,,"2024-08-13T07:00:49Z",,"0","28:2:34","28:2:34","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1572","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-12T02:59:01Z","2024-08-13T05:56:53Z",,,"2024-08-13T05:56:53Z",,"0","26:58:38","26:58:38","0:0:0",,"main","false"
