"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4131","1567","zhou-yinyuan",,"2024-08-07T03:08:11Z","2024-08-07T03:08:41Z","2024-08-08T01:33:15Z",,"2024-08-08T01:54:28Z","2024-08-08T01:33:15Z","2024-08-08T01:54:57.059Z","0","22:46:46","22:25:4","0:21:42","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4122","1566","zhou-yinyuan",,"2024-08-06T06:36:42Z","2024-08-06T08:36:38Z","2024-08-06T08:55:35Z",,"2024-08-06T09:22:18Z","2024-08-06T08:55:35Z","2024-08-06T09:22:49.345Z","0","2:46:7","2:18:53","0:27:14","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4118","1565","zhou-yinyuan",,"2024-08-06T06:36:42Z","2024-08-06T07:21:26Z","2024-08-06T07:27:10Z",,"2024-08-06T07:54:12Z","2024-08-06T07:27:10Z","2024-08-06T07:54:42.802Z","0","1:18:0","0:50:28","0:27:32","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4116","1563","zhou-yinyuan",,"2024-08-06T01:58:37Z","2024-08-06T01:59:21Z","2024-08-06T03:56:40Z",,"2024-08-06T04:19:25Z","2024-08-06T03:56:40Z","2024-08-06T04:19:53.911Z","0","2:21:16","1:58:3","0:23:13","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4114","1564","zhou-yinyuan",,"2024-08-05T09:44:51Z","2024-08-06T03:15:14Z","2024-08-06T03:23:45Z",,"2024-08-06T03:50:25Z","2024-08-06T03:23:45Z","2024-08-06T03:50:56.203Z","0","18:6:5","17:38:54","0:27:11","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4110",,"zhou-yinyuan",,,,,,,,"2024-08-06T02:15:42.545Z","0",,,,"failed","main",""
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4105","1561","Mandy-Tang",,"2024-08-05T03:08:09Z","2024-08-05T03:09:17Z","2024-08-05T03:15:33Z",,"2024-08-05T03:36:57Z","2024-08-05T03:15:33Z","2024-08-05T03:37:27.315Z","0","0:29:18","0:7:24","0:21:54","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4103","1560","Mandy-Tang",,"2024-08-05T01:20:58Z","2024-08-05T01:22:20Z","2024-08-05T01:42:16Z",,"2024-08-05T02:07:46Z","2024-08-05T01:42:16Z","2024-08-05T02:08:14.713Z","0","0:47:16","0:21:18","0:25:58","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4100","1556","Mandy-Tang",,"2024-07-31T14:08:24Z","2024-07-31T14:14:38Z","2024-08-02T08:14:10Z",,"2024-08-02T08:35:37Z","2024-08-02T08:14:10Z","2024-08-02T08:36:05.272Z","0","42:27:41","42:5:46","0:21:55","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4096","1558","zhou-yinyuan",,"2024-08-01T02:52:18Z","2024-08-02T02:10:28Z","2024-08-02T07:07:50Z",,"2024-08-02T07:34:30Z","2024-08-02T07:07:50Z","2024-08-02T07:34:57.092Z","0","28:42:39","28:15:32","0:27:7","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4094","1559","zhou-yinyuan",,"2024-08-01T07:30:10Z","2024-08-02T03:57:34Z","2024-08-02T04:05:48Z",,"2024-08-02T04:27:00Z","2024-08-02T04:05:48Z","2024-08-02T04:27:28.700Z","0","20:57:18","20:35:38","0:21:40","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4089",,"zhou-yinyuan",,,,,,,,"2024-08-02T03:51:09.748Z","0",,,,"failed","main",""
"MYOB-Technology",,"AD-Framework",,,,"594","zhouqiangGroot",,"2024-08-09T07:49:44Z","2024-08-09T08:12:45Z","2024-08-12T09:30:33Z",,,"2024-08-12T09:30:33Z",,"48","25:40:49","25:40:49","0:0:0",,"master","false"
"MYOB-Technology",,"AD-Framework",,,,"592","wangjian-007",,"2024-08-05T09:18:51Z","2024-08-06T05:47:32Z","2024-08-08T01:55:21Z",,,"2024-08-08T01:55:21Z",,"0","64:36:30","64:36:30","0:0:0",,"master","false"
