"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"au-heartbeat",,"Heartbeat",,,,"1586","zhou-yinyuan",,"2024-08-22T08:29:03Z","2024-08-22T08:29:49Z","2024-08-24T23:49:29Z",,,"2024-08-24T23:49:29Z",,"0","63:20:26","63:20:26","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1585","zhou-yinyuan",,"2024-08-21T08:41:50Z","2024-08-22T00:43:37Z","2024-08-22T01:12:51Z",,,"2024-08-22T01:12:51Z",,"0","16:31:1","16:31:1","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1584","zhou-yinyuan",,"2024-08-21T08:41:50Z","2024-08-21T08:45:59Z","2024-08-21T09:29:19Z",,,"2024-08-21T09:29:19Z",,"0","0:47:29","0:47:29","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1583","zhou-yinyuan",,"2024-08-21T03:04:10Z","2024-08-21T03:04:36Z","2024-08-21T03:16:16Z",,,"2024-08-21T03:16:16Z",,"0","0:12:6","0:12:6","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1582","zhou-yinyuan",,"2024-08-20T01:58:55Z","2024-08-20T01:59:41Z","2024-08-20T09:34:31Z",,,"2024-08-20T09:34:31Z",,"0","7:35:36","7:35:36","0:0:0",,"main","false"
