"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"au-heartbeat",,"Heartbeat",,,,"1592","guzhongren",,"2024-08-28T01:53:24Z","2024-08-29T04:21:49Z","2024-08-29T11:14:25Z",,,"2024-08-29T11:14:25Z",,"0","33:21:1","33:21:1","0:0:0",,"main","false"
"au-heartbeat",,"Heartbeat",,,,"1589","zhou-yinyuan",,"2024-08-26T01:56:02Z","2024-08-26T01:56:46Z","2024-08-26T02:02:59Z",,,"2024-08-26T02:02:59Z",,"0","0:6:57","0:6:57","0:0:0",,"main","false"
