"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy e2e","false","4224",,"zhou-yinyuan","heartbeat-user",,,,,,,"2024-08-25T00:50:29.642Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat",,":rocket: Run e2e","false","4221",,"Unknown","heartbeat-user",,,,,,,"2024-08-25T00:49:05.117Z","0",,,,"failed","main",""
"Heartbeat-backup","Heartbeat",,":rocket: Run e2e","false","4207",,"zhou-yinyuan",,,,,,,,"2024-08-21T09:48:48.575Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4201","1583","zhou-yinyuan",,"2024-08-21T03:04:10Z","2024-08-21T03:04:36Z","2024-08-21T03:16:16Z",,"2024-08-21T03:39:02Z","2024-08-21T03:16:16Z","2024-08-21T03:39:31.606Z","0","0:35:21","0:12:6","0:23:15","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4197","1582","zhou-yinyuan",,"2024-08-20T01:58:55Z","2024-08-20T01:59:41Z","2024-08-20T09:34:31Z",,"2024-08-20T10:02:47Z","2024-08-20T09:34:31Z","2024-08-20T10:03:29.671Z","0","8:4:34","7:35:36","0:28:58","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Run e2e","false","4188",,"renovate[bot]",,,,,,,,"2024-08-20T00:53:29.705Z","0",,,,"passed","main",""
