"Issue key","Summary","Issue Type","Status","Status Date","Story Points","assignee","Reporter","Project Key","Project Name","Priority","Parent Summary","Sprint","Labels","Cycle Time","Story testing-1","Design","Vulnerability","Flagged","Fix versions","Partner","Time tracking","Story point estimate","QA","Feature/Operation","Story testing-2","Cycle Time / Story Points","Todo Days","Analysis Days","Design Days","In Dev Days","Block Days","Review Days","Waiting For Testing Days","Testing Days","Waiting For Deployment Days","OriginCycleTime: TODO","OriginCycleTime: TESTING","OriginCycleTime: WAIT FOR TEST","OriginCycleTime: DOING","OriginCycleTime: REVIEW","Rework: total - In dev","Rework: from Block","Rework: from Review","Rework: from Testing","Rework: from Done"
"ADM-992","[FE] adds ‘story points’ dimension for 'classification' in report page","Story","Done","2024-08-14","3.0","YinYuan Zhou","Yufan Wang","ADM","Auto Dora Metrics","Medium","Precise on Metrics","Sprint42","","1.96","","","","","","","None","3.0","","","","0.65","14.76","0","0","1.24","0","0","0","0.72","0","14.76","0.72","0","1.24","0","0","0","0","0","0"
"ADM-966","[FE&BE] export data when user mapped 'Design' & ‘Waiting for deployment' in board mapping","Story","Done","2024-08-13","2.0","YinYuan Zhou","Yufan Wang","ADM","Auto Dora Metrics","Medium","easy to use","Sprint42","","1.95","","","","","","","None","2.0","","","","0.98","42.00","0.09","0","0.89","0","0.06","0","0.91","0","42.00","0.91","0.09","0.89","0.06","0","0","0","0","0"
"ADM-965","[FE&BE] add a heartbeat state 'Design' &'Waiting for deployment' in board mapping","Story","Done","2024-08-12","3.0","YinYuan Zhou","Yufan Wang","ADM","Auto Dora Metrics","Medium","easy to use","Sprint42","","1.96","","","","","","","None","3.0","","","","0.65","42.75","0.01","0","1.05","0","0","0","0.90","0","42.75","0.90","0.01","1.05","0","0","0","0","0","0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADM-999","[FE&BE] support lead time for changes for single data source- case1(metrics)","Story","Doing","2024-08-26","3.0","YinYuan Zhou","Yufan Wang","ADM","Auto Dora Metrics","High","lead time for changes","Sprint 44","","0","","","","","","","None","3.0","","","","0","16.20","0","0","5.08","0","0","0","0","0","16.20","0","0","5.08","0",,,,,
